Genus	Hybrid	iacLike	iadLike	TotalGenus	PropHybrid	PropiacLike	PropiadLike	ClassificationMajority	RatioSampledMeanDistPhylo
Tabrizicola	0	1	0	9	0	0.111111111111111	0	iacLike	0.087303386686671
Thalassobius	0	3	0	9	0	0.333333333333333	0	iacLike	0
Thalassococcus	0	0	1	3	0	0	0.333333333333333	iadLike	0.23335007466128
Thalassospira	0	0	1	47	0	0	0.0212765957446809	iadLike	0.0740345909315882
Thauera	2	0	0	24	0.0833333333333333	0	0	Hybrid	0.373916603907075
Thermogemmatispora	0	0	1	4	0	0	0.25	iadLike	0.17700816576019
Thioclava	0	2	0	26	0	0.0769230769230769	0	iacLike	0.0140729009532599
Thiomonas	0	0	1	16	0	0	0.0625	iadLike	0.584219621925788
Trinickia	1	0	0	12	0.0833333333333333	0	0	Hybrid	0.150974966998949
Tsukamurella	0	1	0	23	0	0.0434782608695652	0	iacLike	0.39385302837174
Variovorax	0	0	99	105	0	0	0.942857142857143	iadLike	0.925407774759479
Verticiella	0	1	0	1	0	1	0	iacLike	1
Vibrio	0	2	0	4297	0	0.000465441005352572	0	iacLike	0.862581327588329
Vitreoscilla	0	2	0	5	0	0.4	0	iacLike	0
Williamsia	0	7	0	12	0	0.583333333333333	0	iacLike	0.6363584027038
Xenophilus	0	0	3	4	0	0	0.75	iadLike	0.256874055218237
Zobellella	0	0	1	5	0	0	0.2	iadLike	0.739173933388904
Zoogloea	1	1	0	5	0.2	0.2	0	iacLike	0.933220690728559
