Background	Bacteria	Rep	Length_cm
IAA	Enterobacter soli	Rep1	2.80147397260274
IAA	Enterobacter soli	Rep1	4.30735068493151
IAA	Enterobacter soli	Rep1	4.40413150684931
IAA	Enterobacter soli	Rep1	3.78439315068493
IAA	Enterobacter soli	Rep1	2.99178082191781
IAA	Enterobacter soli	Rep1	3.24214931506849
IAA	Enterobacter soli	Rep1	4.10972054794521
IAA	Enterobacter soli	Rep1	3.99164383561644
IAA	Enterobacter soli	Rep1	3.4974698630137
IAA	Enterobacter soli	Rep1	3.49050821917808
IAA	Parabukholderia PsJN	Rep1	4.60379589041096
IAA	Parabukholderia PsJN	Rep1	4.71376849315069
IAA	Parabukholderia PsJN	Rep1	4.53102739726027
IAA	Parabukholderia PsJN	Rep1	4.37569315068493
IAA	Parabukholderia PsJN	Rep1	2.87553698630137
IAA	Parabukholderia PsJN	Rep1	4.82873835616438
IAA	Parabukholderia PsJN	Rep1	4.42616301369863
IAA	Parabukholderia PsJN	Rep1	3.06318493150685
IAA	Parabukholderia PsJN	Rep1	2.53172054794521
IAA	Parabukholderia PsJN	Rep1	3.35938356164384
IAA	Parabukholderia PsJN	Rep1	2.03224931506849
IAA	Parabukholderia PsJN	Rep1	4.32638219178082
IAA	Parabukholderia PsJN	Rep1	3.71084794520548
IAA	Parabukholderia PsJN	Rep1	4.80045205479452
IAA	Parabukholderia PsJN	Rep1	4.21450684931507
IAA	Parabukholderia PsJN	Rep1	4.81124794520548
IAA	Parabukholderia PsJN	Rep1	3.17136575342466
IAA	Acinetobacter CL69	Rep1	0.645924657534247
IAA	Acinetobacter CL69	Rep1	0.957386301369863
IAA	Acinetobacter CL69	Rep1	1.03234931506849
IAA	Acinetobacter CL69	Rep1	0.805980821917808
IAA	Acinetobacter CL69	Rep1	0.625520547945206
IAA	Acinetobacter CL69	Rep1	0.751146575342466
IAA	Acinetobacter CL69	Rep1	0.935108219178082
IAA	Acinetobacter CL69	Rep1	0.488749315068493
IAA	Acinetobacter CL69	Rep1	0.232475342465753
IAA	Acinetobacter CL69	Rep1	0.595421917808219
IAA	Acinetobacter CL69	Rep1	0.0986301369863014
IAA	Acinetobacter CL69	Rep1	0.574167123287671
IAA	Acinetobacter CL69	Rep1	0.606217808219178
IAA	Acinetobacter CL69	Rep1	0.721043835616438
IAA	Acinetobacter CL69	Rep1	0.628109589041096
IAA	Acinetobacter CL69	Rep1	1.13983150684932
IAA	Acinetobacter CL69	Rep1	1.31671232876712
IAA	Acinetobacter CL69	Rep1	0.821917808219178
IAA	Acinetobacter CL69	Rep1	1.61095890410959
IAA	Acinetobacter CL69	Rep1	1.38082191780822
IAA	Acinetobacter CL71	Rep1	2.10513698630137
IAA	Acinetobacter CL71	Rep1	1.36230410958904
IAA	Acinetobacter CL71	Rep1	1.54834931506849
IAA	Acinetobacter CL71	Rep1	1.92209178082192
IAA	Acinetobacter CL71	Rep1	1.33505342465753
IAA	Acinetobacter CL71	Rep1	1.51232876712329
IAA	Acinetobacter CL71	Rep1	2.15737397260274
IAA	Acinetobacter CL71	Rep1	2.33517123287671
IAA	Acinetobacter CL71	Rep1	2.00547945205479
IAA	Acinetobacter CL71	Rep1	1.49724657534247
IAA	Acinetobacter CL71	Rep1	1.88432465753425
IAA	Acinetobacter CL71	Rep1	1.19492465753425
IAA	Acinetobacter CL71	Rep1	0.756164383561644
SC175	NB	Rep1	1.65986712328767
SC175	NB	Rep1	1.90798356164384
