Treatment	Background	Length_cm
NB	NB	7.01968344610638
NB	NB	7.55673151698319
NB	NB	6.95202384662584
NB	CL28	0.608936395324891
NB	CL28	0.439787396623532
NB	CL28	0.439787396623532
CL14	CL28	7.78508266523003
CL14	CL28	7.26917821919088
CL14	CL28	7.25649204428828
Δ68-69	CL28	0.139547923928621
Δ68-69	CL28	0.194521348506562
Δ68-69	CL28	0.630080020162561
Δ68-70	CL28	0.0507446996104076
Δ68-70	CL28	0
Δ68-70	CL28	0.359441622240387
ΔHS33	CL28	2.18202208324753
ΔHS33	CL28	0.583564045519687
ΔHS33	CL28	2.21162315802026
ΔHS33 pBBR1:68-69	CL28	0.608936395324891
ΔHS33 pBBR1:68-69	CL28	0.617393845259959
ΔHS33 pBBR1:68-69	CL28	0.28755329779231
ΔHS33 pBBR1:68-70	CL28	7.36643889344417
ΔHS33 pBBR1:68-70	CL28	7.22689096951554
ΔHS33 pBBR1:68-70	CL28	7.89925823935344
NB	IAA	0.342526722370251
NB	IAA	0.338297997402717
NB	IAA	0.6723672698379
CL14	IAA	0.621622570227493
CL14	IAA	3.97077274451439
CL14	IAA	0.152234098831223
Δ68-69	IAA	0.558191695714483
Δ68-69	IAA	0.241037323149436
Δ68-69	IAA	0.6723672698379
Δ68-70	IAA	1.3320483647732
Δ68-70	IAA	0
Δ68-70	IAA	0.993750367370482
ΔHS33	IAA	0.20297879844163
ΔHS33	IAA	0.0592021495454755
ΔHS33	IAA	0.156462823798757
ΔHS33 pBBR1:68-69	IAA	2.54569243045545
ΔHS33 pBBR1:68-69	IAA	5.08292741097582
ΔHS33 pBBR1:68-69	IAA	4.54587934009901
ΔHS33 pBBR1:68-70	IAA	4.06380469380014
ΔHS33 pBBR1:68-70	IAA	2.03824543435137
ΔHS33 pBBR1:68-70	IAA	4.18643771785862
NB	NB	6.59258222438545
NB	NB	7.08734304558692
NB	NB	6.68138544870366
NB	CL28	1.39125051431867
NB	CL28	0.706197069578172
NB	CL28	1.20518661574718
CL14	CL28	1.03180889207829
CL14	CL28	2.86284680302049
CL14	CL28	0.900718418084734
Δ68-69	CL28	1.71686233681879
Δ68-69	CL28	1.39547923928621
Δ68-69	CL28	1.16712809103937
Δ68-70	CL28	1.06140996685103
Δ68-70	CL28	0.372127797142989
Δ68-70	CL28	1.03180889207829
ΔHS33	CL28	0.642766195065163
ΔHS33	CL28	1.64497401237071
ΔHS33	CL28	1.70840488688372
ΔHS33 pBBR1:68-69	CL28	1.28553239013033
ΔHS33 pBBR1:68-69	CL28	1.39970796425374
ΔHS33 pBBR1:68-69	CL28	1.50542608844209
ΔHS33 pBBR1:68-70	CL28	7.49330064247018
ΔHS33 pBBR1:68-70	CL28	6.60103967432052
ΔHS33 pBBR1:68-70	CL28	6.2373693271126
NB	NB	7.29877929396362
NB	NB	6.38537470097629
NB	NB	6.9604812965609
NB	CL28	0.731569419383376
NB	CL28	0.414415046818328
NB	CL28	0.947234392727608
CL14	CL28	7.30723674389869
CL14	CL28	1.73377723668893
CL14	CL28	0.190292623539028
Δ68-69	CL28	0.964149292597744
Δ68-69	CL28	1.06986741678609
Δ68-69	CL28	0.503218271136542
Δ68-70	CL28	1.19250044084458
Δ68-70	CL28	1.12484084136403
Δ68-70	CL28	1.1079259414939
ΔHS33	CL28	1.3193621898706
ΔHS33	CL28	1.50965481340963
ΔHS33	CL28	1.3447345396758
ΔHS33 pBBR1:68-69	CL28	1.04872379194842
ΔHS33 pBBR1:68-69	CL28	7.35375271854156
ΔHS33 pBBR1:68-69	CL28	0.934548217825006
ΔHS33 pBBR1:68-70	CL28	1.1332982912991
ΔHS33 pBBR1:68-70	CL28	1.09946849155883
ΔHS33 pBBR1:68-70	CL28	1.24747386542252
NB	IAA	1.1332982912991
NB	IAA	0.655452369967764
NB	IAA	0.689282169708036
CL14	IAA	7.07888559565186
CL14	IAA	5.22247533490445
CL14	IAA	0.101489399220815
Δ68-69	IAA	0.46938847139627
Δ68-69	IAA	0.317154372565047
Δ68-69	IAA	0.372127797142989
Δ68-70	IAA	0.283324572824776
Δ68-70	IAA	0.0888032243182132
Δ68-70	IAA	0.452473571526134
ΔHS33	IAA	0.566649145649551
ΔHS33	IAA	0.300239472694911
ΔHS33	IAA	0.389042697013125
ΔHS33 pBBR1:68-69	IAA	6.90127914701543
ΔHS33 pBBR1:68-69	IAA	3.43795339860511
ΔHS33 pBBR1:68-69	IAA	6.81670464766475
ΔHS33 pBBR1:68-70	IAA	7.51867299227539
ΔHS33 pBBR1:68-70	IAA	6.82516209759982
ΔHS33 pBBR1:68-70	IAA	5.89907132970988
NB	NB	8.07263596302234
NB	NB	7.84005608980797
NB	NB	7.51021554234032
NB	CL28	0.663909819902832
NB	CL28	0.71465451951324
NB	CL28	0.655452369967764
CL14	CL28	7.46792829266498
CL14	CL28	7.3833537933143
CL14	CL28	7.05774197081419
Δ68-69	CL28	0.913404592987336
Δ68-69	CL28	0
Δ68-69	CL28	0.482074646298872
Δ68-70	CL28	0.879574793247065
Δ68-70	CL28	1.02335144214322
Δ68-70	CL28	0.566649145649551
ΔHS33	CL28	3.90311314503385
ΔHS33	CL28	0.300239472694911
ΔHS33	CL28	3.37875124905964
ΔHS33 pBBR1:68-69	CL28	0.570877870617085
ΔHS33 pBBR1:68-69	CL28	0.473617196363804
ΔHS33 pBBR1:68-69	CL28	1.69148998701359
ΔHS33 pBBR1:68-70	CL28	7.46792829266498
ΔHS33 pBBR1:68-70	CL28	8.36018926081465
ΔHS33 pBBR1:68-70	CL28	7.58633259175593
NB	IAA	0.849973718474327
NB	IAA	0.98106419246788
NB	IAA	0.410186321850795
CL14	IAA	1.36164943954594
CL14	IAA	3.64093219704674
CL14	IAA	1.72109106178632
Δ68-69	IAA	0.2241224232793
Δ68-69	IAA	0.215664973344232
Δ68-69	IAA	0.418643771785862
Δ68-70	IAA	0.376356522110523
Δ68-70	IAA	0.342526722370251
Δ68-70	IAA	0.380585247078057
ΔHS33	IAA	0.355212897272853
ΔHS33	IAA	0.228351148246834
ΔHS33	IAA	0.308696922629979
ΔHS33 pBBR1:68-69	IAA	3.23497460016348
ΔHS33 pBBR1:68-69	IAA	3.97077274451439
ΔHS33 pBBR1:68-69	IAA	6.07244905337877
ΔHS33 pBBR1:68-70	IAA	4.54587934009901
ΔHS33 pBBR1:68-70	IAA	4.87149116259913
ΔHS33 pBBR1:68-70	IAA	0.152234098831223
NB	NB	6.70252907354133
NB	NB	7.28186439409349
NB	NB	7.68782199097675
NB	CL28	1.06140996685103
NB	CL28	0.824601368669123
NB	CL28	1.05718124188349
CL14	CL28	2.41037323149436
CL14	CL28	1.32781963980566
CL14	CL28	1.1459844662017
Δ68-69	CL28	0.900718418084734
Δ68-69	CL28	1.10369721652636
Δ68-69	CL28	1.82680918597467
Δ68-70	CL28	1.1459844662017
Δ68-70	CL28	1.11215466646143
Δ68-70	CL28	1.68303253707852
ΔHS33	CL28	1.61114421263044
ΔHS33	CL28	1.93675603513056
ΔHS33	CL28	1.43776648896155
ΔHS33 pBBR1:68-69	CL28	0.921862042922404
ΔHS33 pBBR1:68-69	CL28	1.45045266386415
ΔHS33 pBBR1:68-69	CL28	0.71465451951324
ΔHS33 pBBR1:68-70	CL28	6.86744934727516
ΔHS33 pBBR1:68-70	CL28	5.67072018146305
ΔHS33 pBBR1:68-70	CL28	5.56077333230716
NB	NB	6.99008237133364
NB	NB	7.72165179071702
NB	NB	7.88657206445084
NB	CL28	1.01066526724062
NB	CL28	0.604707670357357
NB	CL28	0.930319492857472
CL14	CL28	5.25207640967718
CL14	CL28	6.9351089467557
CL14	CL28	4.98989546169008
Δ68-69	CL28	1.22633024058485
Δ68-69	CL28	0.795000293896385
Δ68-69	CL28	0.604707670357357
Δ68-70	CL28	0.659681094935298
Δ68-70	CL28	0.854202443441861
Δ68-70	CL28	0.997979092338016
ΔHS33	CL28	0.65122364500023
ΔHS33	CL28	1.17981426594198
ΔHS33	CL28	1.5561707880525
ΔHS33 pBBR1:68-69	CL28	1.36587816451347
ΔHS33 pBBR1:68-69	CL28	5.93712985441769
ΔHS33 pBBR1:68-69	CL28	0.740026869318444
ΔHS33 pBBR1:68-70	CL28	0.731569419383376
ΔHS33 pBBR1:68-70	CL28	1.20518661574718
ΔHS33 pBBR1:68-70	CL28	1.36587816451347
NB	IAA	0.689282169708036
NB	IAA	0.773856669058715
NB	IAA	0.71465451951324
CL14	IAA	5.12098593568363
CL14	IAA	5.61997548185264
CL14	IAA	4.31752819185218
Δ68-69	IAA	0.253723498052038
Δ68-69	IAA	0.414415046818328
Δ68-69	IAA	0.279095847857242
Δ68-70	IAA	0.993750367370482
Δ68-70	IAA	0.486303371266406
Δ68-70	IAA	1.50542608844209
ΔHS33	IAA	0.414415046818328
ΔHS33	IAA	0.160691548766291
ΔHS33	IAA	0.414415046818328
ΔHS33 pBBR1:68-69	IAA	2.4399743062671
ΔHS33 pBBR1:68-69	IAA	5.96250220422289
ΔHS33 pBBR1:68-69	IAA	5.18864553516417
ΔHS33 pBBR1:68-70	IAA	7.40026869318444
ΔHS33 pBBR1:68-70	IAA	6.36423107613862
ΔHS33 pBBR1:68-70	IAA	7.34952399357403
NB	NB	6.71521524844393
NB	NB	6.9477951216583
NB	NB	6.8970504220479
NB	CL28	0.680824719772968
NB	CL28	0.338297997402717
NB	CL28	0.532819345909279
CL14	CL28	5.98364582906056
CL14	CL28	6.04284797860603
CL14	CL28	7.81045501503523
Δ68-69	CL28	0
